127.0.0.1 - - [31/Aug/2026 02:44:16] "GET /index.html HTTP/1.1" 200 -
169.254.255.193 - - [31/Aug/2026 02:46:25] "GET / HTTP/1.1" 304 -
169.254.255.193 - - [31/Aug/2026 02:46:25] "GET /app.js HTTP/1.1" 200 -
169.254.255.193 - - [31/Aug/2026 02:46:25] "GET /styles.css HTTP/1.1" 304 -
169.254.255.193 - - [31/Aug/2026 02:46:25] code 404, message File not found
169.254.255.193 - - [31/Aug/2026 02:46:25] "GET /favicon.ico HTTP/1.1" 404 -
169.254.255.193 - - [31/Aug/2026 02:46:25] "GET /sw.js HTTP/1.1" 200 -
169.254.255.193 - - [31/Aug/2026 02:46:25] "GET /index.html HTTP/1.1" 200 -
169.254.255.193 - - [31/Aug/2026 02:46:25] "GET / HTTP/1.1" 304 -
169.254.255.193 - - [31/Aug/2026 02:46:25] "GET /sw.js HTTP/1.1" 304 -
169.254.255.193 - - [31/Aug/2026 02:46:27] "GET /sw.js HTTP/1.1" 304 -
